t,z(t),v(t),F(t) (added)
6.379995,-1.853071,0.1429388,185.3071
6.399995,-1.849471,0.1800002,184.9471
6.419995,-1.845131,0.2169897,184.5131
6.439995,-1.840054,0.2538923,184.0054
6.459995,-1.83424,0.2906934,183.424
6.479995,-1.827692,0.3273782,182.7692
6.499995,-1.820413,0.363932,182.0414
6.519995,-1.812407,0.4003403,181.2407
6.539995,-1.803675,0.4365884,180.3675
6.559995,-1.794222,0.4726619,179.4222
6.579995,-1.784051,0.5085463,178.4051
6.599995,-1.773166,0.5442273,177.3166
6.619995,-1.761572,0.5796906,176.1572
6.639995,-1.749274,0.6149221,174.9274
6.659995,-1.736276,0.6499076,173.6276
6.679995,-1.722583,0.6846331,172.2583
6.699995,-1.708202,0.7190847,170.8202
6.719995,-1.693137,0.7532488,169.3137
6.739995,-1.677394,0.7871115,167.7394
6.759995,-1.660981,0.8206593,166.0981
6.779994,-1.643904,0.853879,164.3904
6.799994,-1.626168,0.886757,162.6169
6.819994,-1.607783,0.9192804,160.7783
6.839994,-1.588754,0.951436,158.8754
6.859994,-1.56909,0.9832111,156.909
6.879994,-1.548798,1.014593,154.8798
6.899994,-1.527887,1.045569,152.7887
6.919994,-1.506364,1.076127,150.6364
6.939994,-1.484239,1.106254,148.4239
6.959994,-1.46152,1.135939,146.152
6.979994,-1.438217,1.165169,143.8217
6.999994,-1.414338,1.193933,141.4338
7.019994,-1.389894,1.22222,138.9894
7.039994,-1.364894,1.250018,136.4893
7.059994,-1.339347,1.277316,133.9347
7.079994,-1.313265,1.304103,131.3265
7.099994,-1.286658,1.330368,128.6658
7.119994,-1.259536,1.356101,125.9536
7.139994,-1.23191,1.381292,123.191
7.159994,-1.203791,1.40593,120.3791
7.179994,-1.175191,1.430006,117.5191
7.199994,-1.146121,1.45351,114.6121
7.219994,-1.116593,1.476432,111.6593
7.239994,-1.086617,1.498764,108.6617
7.259994,-1.056207,1.520496,105.6207
7.279994,-1.025375,1.54162,102.5375
7.299994,-0.9941323,1.562128,99.41323
7.319994,-0.9624921,1.582011,96.24921
7.339994,-0.9304669,1.60126,93.04669
7.359994,-0.8980695,1.61987,89.80695
7.379994,-0.8653129,1.637831,86.53129
7.399994,-0.8322101,1.655137,83.22102
7.419994,-0.7987745,1.671782,79.87745
7.439994,-0.7650194,1.687757,76.50194
7.459994,-0.7309582,1.703057,73.09583
7.479994,-0.6966047,1.717677,69.66047
7.499994,-0.6619725,1.731609,66.19725
7.519994,-0.6270756,1.744848,62.70755
7.539994,-0.5919278,1.75739,59.19278
7.559994,-0.5565432,1.769228,55.65432
7.579994,-0.5209361,1.780359,52.09361
7.599994,-0.4851205,1.790778,48.51205
7.619994,-0.4491109,1.80048,44.91109
7.639994,-0.4129216,1.809462,41.29216
7.659994,-0.3765672,1.817721,37.65672
7.679994,-0.3400622,1.825252,34.00622
7.699994,-0.3034211,1.832053,30.34211
7.719994,-0.2666587,1.838122,26.66587
7.739994,-0.2297896,1.843455,22.97896
7.759994,-0.1928285,1.848051,19.28285
7.779994,-0.1557904,1.851907,15.57904
7.799994,-0.1186899,1.855023,11.86899
7.819993,-0.08154199,1.857397,8.154199
7.839993,-0.04436143,1.859028,4.436143
7.859993,-0.007163133,1.859915,0.7163134
7.879993,0.03003803,1.860058,-3.003803
7.899993,0.06722718,1.859457,-6.722718
7.919993,0.1043894,1.858113,-10.43894
7.939993,0.14151,1.856025,-14.151
7.959993,0.1785738,1.853195,-17.85738
7.979993,0.2155663,1.849623,-21.55663
7.999993,0.2524725,1.845312,-25.24726
8.019994,0.2892778,1.840263,-28.92778
8.039994,0.3259673,1.834477,-32.59673
8.059995,0.3625265,1.827958,-36.25265
8.079995,0.3989407,1.820707,-39.89407
8.099996,0.4351952,1.812728,-43.51952
8.119996,0.4712757,1.804024,-47.12757
8.139997,0.5071676,1.794599,-50.71676
8.159997,0.5428568,1.784456,-54.28568
8.179997,0.5783287,1.773598,-57.83287
8.199998,0.6135694,1.762032,-61.35694
8.219998,0.6485646,1.749761,-64.85646
8.239999,0.6833004,1.736789,-68.33004
8.259999,0.7177628,1.723123,-71.77628
8.28,0.7519382,1.708768,-75.19382
8.3,0.7858127,1.693729,-78.58128
8.320001,0.819373,1.678013,-81.9373
8.340001,0.8526055,1.661625,-85.26055
8.360002,0.885497,1.644573,-88.5497
8.380002,0.9180343,1.626863,-91.80343
8.400002,0.9502043,1.608503,-95.02043
8.420003,0.9819943,1.589499,-98.19942
8.440003,1.013391,1.569859,-101.3391
8.460004,1.044383,1.549591,-104.4383
8.480004,1.074957,1.528703,-107.4957
8.500005,1.105101,1.507204,-110.5101
8.520005,1.134804,1.485102,-113.4804
8.540006,1.164052,1.462406,-116.4052
8.560006,1.192834,1.439125,-119.2834
8.580007,1.22114,1.415268,-122.114
8.600007,1.248956,1.390846,-124.8956
8.620008,1.276274,1.365867,-127.6274
8.640008,1.303081,1.340341,-130.3081
8.660008,1.329366,1.314279,-132.9366
8.680009,1.35512,1.287692,-135.512
8.700009,1.380332,1.26059,-138.0332
8.72001,1.404992,1.232983,-140.4991
8.74001,1.429089,1.204883,-142.9089
8.760011,1.452615,1.176302,-145.2615
8.780011,1.47556,1.147249,-147.556
8.800012,1.497915,1.117738,-149.7915
8.820012,1.51967,1.08778,-151.967
8.840013,1.540818,1.057387,-154.0818
8.860013,1.56135,1.02657,-156.135
8.880013,1.581257,0.9953432,-158.1257
8.900014,1.600531,0.9637181,-160.0531
8.920014,1.619165,0.9317074,-161.9165
8.940015,1.637152,0.8993241,-163.7152
8.960015,1.654483,0.8665811,-165.4483
8.980016,1.671153,0.8334914,-167.1153
9.000016,1.687154,0.8000684,-168.7154
9.020017,1.702481,0.7663253,-170.2481
9.040017,1.717126,0.7322757,-171.7126
9.060018,1.731085,0.6979331,-173.1085
9.080018,1.744351,0.6633114,-174.4351
9.100019,1.75692,0.6284244,-175.692
9.120019,1.768785,0.593286,-176.8785
9.140019,1.779944,0.5579103,-177.9944
9.16002,1.79039,0.5223114,-179.039
9.18002,1.80012,0.4865037,-180.012
9.200021,1.80913,0.4505013,-180.913
9.220021,1.817416,0.4143187,-181.7416
9.240022,1.824976,0.3779703,-182.4976
9.260022,1.831805,0.3414708,-183.1805
9.280023,1.837902,0.3048347,-183.7902
9.300023,1.843264,0.2680767,-184.3264
9.320024,1.847888,0.2312114,-184.7888
9.340024,1.851773,0.1942537,-185.1773
9.360024,1.854917,0.1572182,-185.4917
9.380025,1.85732,0.1201199,-185.732
9.400025,1.858979,0.08297349,-185.8979
9.420026,1.859895,0.04579391,-185.9895
9.440026,1.860067,0.00859601,-186.0067
9.460027,1.859495,-0.02860532,-185.9495
